Explore our Membership options,PF Black Card,Classic
,42.29 /month,21.15 /month
no,Select your club to see pricing
Find a club,Select your club to see pricing
Find a club
Unlimited Access to Home Club,yes,yes
PF App Workouts,yes,yes
Perks: Partner Rewards & Discounts,yes,yes
Bring a Guest Anytime,yes,no
Use of Any Planet Fitness Worldwide,yes,no
Use of Tanning,yes,no
Use of Massage Chairs,yes,no
Use of HydroMassage™*,yes,no
Use of Total Body Enhancement*,yes,no
50% Off Select Drinks**,yes,no
Premium Perks: Partner Rewards & Discounts,yes,no
TORONTO (COLLEGE PARK)  ON,444 Yonge St Units G1 and G4,(437) 375-7005
TORONTO (GERRARD SQUARE)  ON,1000 Gerrard Street East,(437) 889-3200
TORONTO (GALLERIA MALL)  ON,1245 Dupont St  Unit 1,(416) 537-2957
